Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A524170,OWNER SUR,10/01/2024,CUPCAKE,OTHER,5 YEARS,LARGE,BLACK,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524170&location=MONT,
A525382,OWNER SUR,11/04/2024,*ROCKEFELLER,DOG,2 YEARS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525382&location=MONT,
A527943,OWNER SUR,02/02/2025,TRIXIE,OTHER,1 YEAR,SMALL,ORANGE,HAMSTER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527943&location=MONT,
A528022,OWNER SUR,02/05/2025,TOBIAS,DOG,12 YEARS,MED,WHITE / BRINDLE,BEAGLE / AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528022&location=MONT,
A528092,OWNER SUR,02/08/2025,GUINEA BEAR,OTHER,1 YEAR,MED,WHITE / BRINDLE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528092&location=MONT,
A517695,OWNER SUR,10/26/2024,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,
A526574,OWNER SUR,12/13/2024,HONEY,OTHER,2 YEARS,LARGE,TAN / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526574&location=MONT,
A525282,OWNER SUR,11/01/2024,PETALS,DOG,5 YEARS,MED,TAN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525282&location=MONT,
A524293,OWNER SUR,10/05/2024,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,
A448342,OWNER SUR,12/26/2024,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A513657,OWNER SUR,01/02/2025,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
A526729,OWNER SUR,12/20/2024,JAXON,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526729&location=MONT,
A471139,OWNER SUR,12/22/2024,ROCKY,DOG,7 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471139&location=MONT,
A502079,RETURN,01/16/2025,DA VINCI,DOG,3 YEARS,SMALL,BLACK / BROWN,PUG / BEAGLE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502079&location=MONT,
A525264,OWNER SUR,11/01/2024,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,
A527408,OWNER SUR,01/15/2025,MURRAY,CAT,7 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527408&location=MONT,
