medalist_name,medal,gender,sport
Bair Badënov,bronze,male,archery
Ilario Di Buò,silver,male,archery
Im Dong-hyun,gold,male,archery
Jiang Lin,bronze,male,archery
Lee Chang-hwan,gold,male,archery
Li Wenquan,bronze,male,archery
Marco Galiazzo,silver,male,archery
Mauro Nespoli,silver,male,archery
Park Kyung-mo,silver,male,archery
Viktor Ruban,gold,male,archery
Xue Haifeng,bronze,male,archery
Bérengère Schuh,bronze,female,archery
Chen Ling,silver,female,archery
Guo Dan,silver,female,archery
Joo Hyun-Jung,gold,female,archery
Park Sung-hyun,silver,female,archery
Sophie Dodemont,bronze,female,archery
Virginie Arnold,bronze,female,archery
Yun Ok-hee,bronze,female,archery
Zhang Juanjuan,gold,female,archery
Aaron Armstrong,gold,male,athletics
Ainārs Kovals,silver,male,athletics
Alex Schwazer,gold,male,athletics
Alfred Kirwa Yego,bronze,male,athletics
Andrae Williams,silver,male,athletics
Andreas Thorkildsen,gold,male,athletics
Andrei Krauchanka,silver,male,athletics
Andretti Bain,silver,male,athletics
Andrew Steele,bronze,male,athletics
Andrey Silnov,gold,male,athletics
Angelo Taylor,gold,male,athletics
Asbel Kiprop,gold,male,athletics
Avard Moncur,silver,male,athletics
Bershawn Jackson,bronze,male,athletics
Brimin Kipruto,gold,male,athletics
Bruno de Barros,bronze,male,athletics
Bryan Clay,gold,male,athletics
Chris Brown,silver,male,athletics
Christian Cantwell,silver,male,athletics
David Neville,bronze,male,athletics
David Oliver,bronze,male,athletics
David Payne,silver,male,athletics
Dayron Robles,gold,male,athletics
Denis Nizhegorodov,bronze,male,athletics
Derek Miles,bronze,male,athletics
Dylan Armstrong,bronze,male,athletics
Edwin Soi,bronze,male,athletics
Eliud Kipchoge,silver,male,athletics
Emmanuel Callender,gold,male,athletics
Gerd Kanter,gold,male,athletics
Germaine Mason,silver,male,athletics
Godfrey Khotso Mokoena,silver,male,athletics
Ibrahim Camejo,bronze,male,athletics
Irving Saladino,gold,male,athletics
Ismail Ahmed Ismail,silver,male,athletics
Ivan Tsikhan,bronze,male,athletics
Jaouad Gharib,silver,male,athletics
Jared Tallent,bronze,male,athletics
Jefferson Pérez,silver,male,athletics
Jeremy Wariner,silver,male,athletics
José Carlos Moreira,bronze,male,athletics
Kenenisa Bekele,gold,male,athletics
Kerron Clement,silver,male,athletics
Keston Bledman,gold,male,athletics
LaShawn Merritt,gold,male,athletics
Leevan Sands,bronze,male,athletics
Leonel Suárez,bronze,male,athletics
Mahiedine Mekhissi-Benabbad,silver,male,athletics
Marc Burns,gold,male,athletics
Martyn Rooney,bronze,male,athletics
Mehdi Baala,bronze,male,athletics
Micah Kogo,bronze,male,athletics
Michael Bingham,bronze,male,athletics
Michael Mathieu,silver,male,athletics
Naoki Tsukahara,silver,male,athletics
Nelson Évora,gold,male,athletics
Nick Willis,silver,male,athletics
Nobuharu Asahara,silver,male,athletics
Phillips Idowu,silver,male,athletics
Piotr Małachowski,silver,male,athletics
Primož Kozmus,gold,male,athletics
Ramon Miller,silver,male,athletics
Reggie Witherspoon,gold,male,athletics
Richard Mateelong,bronze,male,athletics
Richard Thompson,silver,male,athletics
Robert Tobin,bronze,male,athletics
Samuel Wanjiru,gold,male,athletics
Sandro Viana,bronze,male,athletics
Shawn Crawford,silver,male,athletics
Shingo Suetsugu,silver,male,athletics
Shinji Takahira,silver,male,athletics
Sileshi Sihine,silver,male,athletics
Steve Hooker,gold,male,athletics
Tero Pitkämäki,bronze,male,athletics
Tomasz Majewski,gold,male,athletics
Tsegaye Kebede,bronze,male,athletics
Usain Bolt,gold,male,athletics
Vadim Devyatovskiy,silver,male,athletics
Valeriy Borchin,gold,male,athletics
Vicente de Lima,bronze,male,athletics
Virgilijus Alekna,bronze,male,athletics
Walter Dix,bronze,male,athletics
Wilfred Bungei,gold,male,athletics
Yaroslav Rybakov,bronze,male,athletics
Yevgeny Lukyanenko,silver,male,athletics
Agnes Osazuwa,silver,female,athletics
Allyson Felix,silver,female,athletics
Anna Chicherova,bronze,female,athletics
Barbora Špotáková,gold,female,athletics
Blanka Vlašić,silver,female,athletics
Blessing Okagbare,silver,female,athletics
Bobby-Gaye Wilkins,silver,female,athletics
Catherine Ndereba,silver,female,athletics
Chelsea Hammond,bronze,female,athletics
Christina Obergföll,bronze,female,athletics
Christine Ohuruogu,gold,female,athletics
Constantina Diță,gold,female,athletics
Dawn Harper-Nelson,gold,female,athletics
Elisa Rigaudo,bronze,female,athletics
Ene Franca Idoko,silver,female,athletics
Eunice Jepkorir,silver,female,athletics
Françoise Mbango Etone,gold,female,athletics
Gloria Kemasuode,silver,female,athletics
Gong Lijiao,bronze,female,athletics
Gölnara Galkina-Sämitevä,gold,female,athletics
Halimat Ismaila,silver,female,athletics
Hanna Mariën,gold,female,athletics
Hasna Benhassi,bronze,female,athletics
Hyleas Fountain,silver,female,athletics
Iryna Lishchynska,silver,female,athletics
Janeth Jepkosgei,silver,female,athletics
Jennifer Suhr,silver,female,athletics
Kelly Sotherton,bronze,female,athletics
Kerron Stewart,bronze,female,athletics
Kim Gevaert,gold,female,athletics
Kjersti Plätzer,silver,female,athletics
Linet Masai,bronze,female,athletics
Lucimar de Moura,bronze,female,athletics
Manuela Montebrun,bronze,female,athletics
Marilyn Okoro,bronze,female,athletics
Mariya Abakumova,silver,female,athletics
Mary Wineberg,gold,female,athletics
Maurren Maggi,gold,female,athletics
Melaine Walker,gold,female,athletics
Meseret Defar,silver,female,athletics
Monique Henderson,gold,female,athletics
Nancy Langat,gold,female,athletics
Nataliya Dobrynska,gold,female,athletics
Nataliya Tobias,bronze,female,athletics
Natasha Hastings,gold,female,athletics
Nicola Sanders,bronze,female,athletics
Novlene Williams-Mills,silver,female,athletics
Olena Antonova,silver,female,athletics
Olga Kaniskina,gold,female,athletics
Olivia Borlée,gold,female,athletics
Oludamola Osayomi,silver,female,athletics
Pamela Jelimo,gold,female,athletics
